group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,max_tp_lcd,jacobi-2d-imper-l00,4,3.625,729082,5.5624542236328125,0.6041666666666666,0.607120581904179,1.0048892390138136
core,max_tp_lcd,jacobi-2d-imper-l00,8,4,529345,4.038581848144531,0.6666666666666666,0.4407957464703115,1.5124162880541046
core,max_tp_lcd,jacobi-2d-imper-l00,16,5.625,771458,5.8857574462890625,0.9375,0.6424078908471669,1.4593531825452584
core,max_tp_lcd,gesummv-l00,2,1.25,507862,3.8746795654296875,1.0,1.0,1.0
core,max_tp_lcd,gesummv-l00,4,0.75,369351,2.8179244995117188,0.6,0.7272664621491665,1.212110770248611
core,max_tp_lcd,gesummv-l00,8,1.1875,392315,2.9931259155273438,0.95,0.7724834699189937,1.229799778239425
core,max_tp_lcd,gesummv-l00,16,1.09375,337888,2.577880859375,0.875,0.6653145933344098,1.3151673039587082
validation_informed,legacy,bicg-l01,2,2.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,legacy,bicg-l01,4,1.75,350537,2.6743850708007812,0.7,0.5775166275929902,1.2120863132850455
validation_informed,legacy,bicg-l01,8,1.9375,341400,2.60467529296875,0.775,0.56246323971577,1.3778678236672524
validation_informed,legacy,bicg-l01,16,1.84375,328917,2.5094375610351562,0.7375,0.5418972507838076,1.3609591097450116
validation_informed,legacy,gemver-l00,2,2.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,legacy,gemver-l00,4,1.75,363914,2.7764434814453125,0.7,0.5596765412428371,1.2507224234297114
validation_informed,legacy,gemver-l00,8,1.6875,335283,2.5580062866210938,0.675,0.5156438877798659,1.3090429577401779
validation_informed,legacy,gemver-l00,16,1.59375,322317,2.4590835571289062,0.6375,0.4957030060502413,1.28605231805955
validation_informed,tp_only,bicg-l01,2,1.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,tp_only,bicg-l01,4,0.75,350537,2.6743850708007812,0.5,0.5775166275929902,1.1550332551859803
validation_informed,tp_only,bicg-l01,8,0.9375,341400,2.60467529296875,0.625,0.56246323971577,1.1111837287639132
validation_informed,tp_only,bicg-l01,16,0.84375,328917,2.5094375610351562,0.5625,0.5418972507838076,1.038019659975009
validation_informed,tp_only,gemver-l00,2,1.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,tp_only,gemver-l00,4,0.75,363914,2.7764434814453125,0.5,0.5596765412428371,1.1193530824856741
validation_informed,tp_only,gemver-l00,8,0.6875,335283,2.5580062866210938,0.4583333333333333,0.5156438877798659,1.1250412097015257
validation_informed,tp_only,gemver-l00,16,0.59375,322317,2.4590835571289062,0.3958333333333333,0.4957030060502413,1.252302331074294
