round,failures,group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
round-07-indexed-startup,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-07-indexed-startup,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-08-data-index,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
round-08-data-index,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0287677159884299,1.161080002841178,,,,
round-08-data-index,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-08-data-index,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-08-no-data-index,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1454368536403983,1.3034042388656588
round-08-no-data-index,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0287677159884299,1.161080002841178,,,,
round-08-no-data-index,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-08-no-data-index,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
